Comment,Designator,Footprint,LCSC Part #,MPN
0.1uF 50V X7R,"C103,C104",C_0603_1608Metric,C14663,CC0603KRX7R9BB104
100k,R102,R_0603_1608Metric,C25803,0603WAF1003T5E
10k,R101,R_0603_1608Metric,C25804,0603WAF1002T5E
10uF 16V X5R,C102,C_0603_1608Metric,C92487,CL10A106MO8NQNC
10uF 25V X5R,C101,C_0805_2012Metric,C15850,CL21A106KAYNNNE
1N4148W,"D8,D9,D10,D11,D12,D13,D15,D16,D17,D18,D19,D20,D22,D23,D24,D25,D26,D27,D28,D29,D30,D31,D32,D33,D34,D35",D_SOD-123_HandSoldering,C81598,1N4148W
XC8111AA01MR-G,U103,SOT-23-5,C3235548,XC8111AA01MR-G
XCL103D503CR-G,U102,CL-2025-02,C5439677,XCL103D503CR-G
